id,name,slug,category,pricing,website,description,tags,featured,verified
2801,OpenAI Legal AI,openai-legal-ai,AI Legal Platform,Paid,https://platform.openai.com,"AI-powered legal analysis and contract intelligence system","legal,ai,contracts",true,true
2802,Harvey AI,harvey-ai,AI Legal Assistant,Paid,https://www.harvey.ai,"AI legal copilot for law firms and enterprises","legal,law,ai",true,true
2803,Lexis+ AI,lexis-ai,AI Legal Research,Paid,https://www.lexisnexis.com,"AI legal research and case analysis platform","legal,research,ai",true,true
2804,Westlaw AI,westlaw-ai,AI Legal Research,Paid,https://legal.thomsonreuters.com,"AI legal database and research assistant","legal,cases,ai",true,true
2805,DoNotPay AI,donotpay-ai,AI Legal Automation,Freemium,https://www.donotpay.com,"AI legal chatbot for consumer rights and disputes","legal,automation,ai",true,true

2806,OpenAI Contract AI,openai-contract-ai,AI Contract Platform,Paid,https://platform.openai.com,"AI contract drafting and analysis system","legal,contracts,ai",true,true
2807,Evisort AI,evisort-ai,AI Contract Management,Paid,https://www.evisort.com,"AI contract lifecycle management system","legal,contracts,ai",true,true
2808,Ironclad AI,ironclad-ai,AI Contract Workflow,Paid,https://ironcladapp.com,"AI contract workflow automation platform","legal,contracts,ai",true,true
2809,Luminance AI,luminance-ai,AI Legal Review,Paid,https://www.luminance.com,"AI document and legal review system","legal,documents,ai",true,true
2810,Kira Systems AI,kira-systems-ai,AI Legal Analysis,Paid,https://kirasystems.com,"AI contract and legal document analysis system","legal,ai,documents",true,true

2811,OpenAI Compliance AI,openai-compliance-ai,AI Compliance System,Paid,https://platform.openai.com,"AI regulatory compliance and monitoring system","legal,compliance,ai",true,true
2812,Relativity AI,relativity-ai,AI eDiscovery,Paid,https://www.relativity.com,"AI legal eDiscovery and document analysis platform","legal,ediscovery,ai",true,true
2813,Everlaw AI,everlaw-ai,AI Litigation Platform,Paid,https://www.everlaw.com,"AI litigation and legal discovery system","legal,litigation,ai",true,true
2814,DISCO AI,disco-ai,AI Legal Discovery,Paid,https://www.csdisco.com,"AI legal case review and eDiscovery platform","legal,cases,ai",true,true
2815,CaseText AI,casetext-ai,AI Legal Research,Paid,https://casetext.com,"AI legal research and case law assistant","legal,research,ai",true,true

2816,OpenAI Tax Law AI,openai-tax-law-ai,AI Tax Legal Platform,Paid,https://platform.openai.com,"AI tax law analysis and compliance system","legal,tax,ai",true,true
2817,TaxGPT AI,taxgpt-ai,AI Tax Assistant,Paid,https://taxgpt.com,"AI tax law and filing assistant system","tax,legal,ai",true,true
2818,Clio AI,clio-ai,AI Law Practice Management,Paid,https://www.clio.com,"AI law firm management and automation platform","legal,law,ai",true,true
