id,name,slug,category,pricing,website,description,tags,featured,verified
201,SE Ranking AI,se-ranking-ai,AI SEO Tool,Freemium,https://seranking.com,"AI-powered SEO analysis, keyword research and optimization platform","seo,keywords,analysis",true,true
202,Rank Math AI,rank-math-ai,AI SEO Assistant,Freemium,https://rankmath.com,"AI content assistant for WordPress SEO optimization","seo,wordpress,content",true,true
203,Alli AI,alli-ai,AI SEO Automation,Paid,https://www.alliai.com,"Automated AI SEO optimization platform","seo,automation,marketing",true,true
204,Outranking,outranking,AI SEO Writer,Freemium,https://www.outranking.io,"AI-powered SEO content research and writing","seo,writing,content",true,true
205,Clearscope,clearscope,AI SEO Platform,Paid,https://www.clearscope.io,"AI content optimization and keyword intelligence","seo,content,optimization",true,true

206,INK,ink,AI Writing & SEO,Freemium,https://inkforall.com,"AI writing assistant focused on SEO and marketing content","writing,seo,marketing",true,true
207,Content at Scale,content-at-scale,AI Content Generator,Paid,https://contentatscale.ai,"Long-form AI content creation and SEO publishing platform","writing,seo,blogs",true,true
208,Writer,writer,AI Enterprise Writing,Freemium,https://writer.com,"Enterprise-grade generative AI writing assistant","writing,enterprise,content",true,true
209,Wordtune,wordtune,AI Writing Assistant,Freemium,https://www.wordtune.com,"AI rewriting and text enhancement assistant","writing,editing,grammar",true,true
210,HyperWrite,hyperwrite,AI Writing Assistant,Freemium,https://www.hyperwriteai.com,"AI assistant for writing, research and productivity","writing,research,assistant",true,true

211,Sudowrite,sudowrite,AI Creative Writing,Paid,https://www.sudowrite.com,"AI writing tool for fiction authors and storytellers","writing,fiction,storytelling",true,true
212,NovelAI,novel-ai,AI Story Generator,Paid,https://novelai.net,"AI storytelling, writing and image generation platform","story,writing,anime",true,true
213,ShortlyAI,shortly-ai,AI Writing Assistant,Paid,https://www.shortlyai.com,"AI-powered long-form writing assistant","writing,blogs,creative",true,true
214,Peppertype,peppertype,AI Copywriting,Freemium,https://www.peppertype.ai,"AI content creation for marketing and businesses","copywriting,marketing,content",true,true
215,TextCortex,textcortex,AI Writing Assistant,Freemium,https://textcortex.com,"AI assistant for writing, rewriting and knowledge tasks","writing,productivity,assistant",true,true

216,Originality.ai,originality-ai,AI Content Detection,Paid,https://originality.ai,"AI plagiarism and AI-generated content detector","detection,plagiarism,content",true,true
217,GPTZero,gptzero,AI Detection,Freemium,https://gptzero.me,"Detect AI-generated writing and analyze text originality","detection,education,writing",true,true
218,ZeroGPT,zero-gpt,AI Detection,Freemium,https://www.zerogpt.com,"AI content detector and plagiarism checker","detection,content,analysis",true,true
