id,name,slug,category,pricing,website,description,tags,featured,verified
2101,OpenAI Image Studio,openai-image-studio,AI Image Generation,Paid,https://platform.openai.com,"AI image generation and editing studio","image,genai,design",true,true
2102,Anthropic Vision Studio,anthropic-vision-studio,AI Vision Platform,Paid,https://www.anthropic.com,"Multimodal vision understanding and generation tools","vision,ai,llm",true,true
2103,Google Imagen Studio,imagen-studio,AI Image Generation,Paid,https://ai.google,"Google Imagen-powered image generation platform","image,google,genai",true,true
2104,Meta Imagine AI Studio,meta-imagine-ai-studio,AI Image Tool,Free,https://ai.meta.com,"Meta AI image generation and editing system","image,meta,genai",true,true
2105,Mistral Vision API,mistral-vision-api,AI Vision API,Paid,https://mistral.ai,"Multimodal vision and image understanding API","vision,llm,api",true,true

2106,Midjourney AI,midjourney-ai,AI Image Generator,Paid,https://www.midjourney.com,"High-quality AI art and image generation platform","image,art,genai",true,true
2107,DALL·E 3 AI,dalle-3-ai,AI Image Generator,Paid,https://openai.com/dall-e-3,"OpenAI advanced image generation model","image,openai,genai",true,true
2108,Stable Diffusion XL,stable-diffusion-xl,AI Image Model,Free,https://stability.ai,"Open-source high-quality image generation model","image,open-source,genai",true,true
2109,Leonardo AI,leonardo-ai,AI Image Platform,Freemium,https://leonardo.ai,"AI image generation and game asset creation platform","image,design,ai",true,true
2110,Adobe Firefly,adobe-firefly,AI Design Tool,Freemium,https://firefly.adobe.com,"AI-powered creative design and image generation tool","image,adobe,design",true,true

2111,Canva AI Image Generator,canva-ai-image-generator,AI Design Tool,Freemium,https://www.canva.com,"AI image generation inside Canva design platform","design,image,ai",true,true
2112,Runway Gen-3,runway-gen-3,AI Video/Image Generator,Paid,https://runwayml.com,"AI video and image generation platform","video,image,genai",true,true
2113,Playground AI,playground-ai,AI Image Generator,Freemium,https://playgroundai.com,"Simple AI image generation platform","image,design,ai",true,true
2114,Ideogram AI,ideogram-ai,AI Image Generator,Freemium,https://ideogram.ai,"AI image generation with strong text rendering","image,text,ai",true,true
2115,BlueWillow AI,bluewillow-ai,AI Image Generator,Free,https://bluewillow.ai,"Discord-based AI image generation tool","image,discord,ai",true,true

2116,Lexica AI,lexica-ai,AI Image Search,Free,https://lexica.art,"AI image search and Stable Diffusion gallery","image,search,ai",true,true
2117,Artbreeder AI,artbreeder-ai,AI Image Tool,Freemium,https://www.artbreeder.com,"AI-based image blending and generation tool","image,creative,ai",true,true
2118,Deep Dream Generator,deep-dream-generator,AI Art Tool,Freemium,https://deepdreamgenerator.com,"AI surreal art generation platform","image,art,ai",true,true
2119,NightCafe AI,nightcafe-ai,AI Art Generator,Freemium,https://nightcafe.studio,"AI art generation community platform","image,art,community",true,true
2120,Wombo Dream AI,wombo-dream-ai,AI Art Generator,Freemium,https://dream.ai,"Mobile AI art generation app","image,art,mobile",true,true

2121,Stable Diffusion WebUI,stable-diffusion-webui,AI Image Tool,Free,https://github.com/AUTOMATIC1111,"Open-source web UI for Stable Diffusion","image,open-source,ai",true,true
