id,name,slug,category,pricing,website,description,tags,featured,verified
1651,OpenAI Vision Studio,openai-vision-studio,AI Vision Platform,Paid,https://platform.openai.com,"AI vision analysis and multimodal application studio","vision,llm,ai",true,true
1652,Google Gemini Vision Studio,gemini-vision-studio,AI Multimodal Platform,Paid,https://ai.google,"Multimodal AI image and video understanding studio","vision,google,ai",true,true
1653,Anthropic Claude Vision,claude-vision,AI Vision LLM,Paid,https://www.anthropic.com,"Claude-based image and document understanding system","vision,llm,ai",true,true
1654,Meta AI Vision Studio,meta-vision-studio,AI Vision Platform,Free,https://ai.meta.com,"Meta multimodal vision AI tools and models","vision,meta,ai",true,true
1655,Mistral Vision API,mistral-vision-api,AI Vision API,Paid,https://mistral.ai,"Multimodal vision understanding API","vision,api,llm",true,true

1656,Azure Computer Vision Studio,azure-vision-studio,AI Vision API,Paid,https://azure.microsoft.com,"Microsoft computer vision AI services and studio","vision,azure,api",true,true
1657,AWS Rekognition Studio,aws-rekognition-studio,AI Vision API,Paid,https://aws.amazon.com/rekognition,"AWS image and video analysis AI platform","vision,aws,ai",true,true
1658,Google Vision AI Studio,google-vision-ai-studio,AI Vision API,Paid,https://cloud.google.com/vision,"Google image recognition and analysis platform","vision,google,api",true,true
1659,Clarifai Vision Studio,clarifai-vision-studio,AI Vision Platform,Paid,https://www.clarifai.com,"Enterprise computer vision AI platform","vision,enterprise,ai",true,true
1660,Roboflow Vision Studio,roboflow-vision-studio,AI Vision ML Platform,Freemium,https://roboflow.com,"AI computer vision dataset and training platform","vision,ml,ai",true,true

1661,Labelbox AI,labelbox-ai,AI Data Labeling Platform,Paid,https://labelbox.com,"AI-powered data labeling and training platform","ml,data,ai",true,true
1662,Scale AI Platform,scale-ai-platform,AI Data Platform,Paid,https://scale.com,"Data labeling and AI training data platform","ml,data,ai",true,true
1663,SuperAnnotate AI,superannotate-ai,AI Data Labeling Tool,Paid,https://superannotate.com,"AI dataset annotation and labeling platform","ml,data,vision",true,true
1664,V7 Labs AI,v7-labs-ai,AI Vision Dataset Tool,Paid,https://www.v7labs.com,"AI image annotation and training dataset platform","vision,data,ai",true,true
1665,Label Studio,label-studio,AI Open Source Labeling,Free,https://labelstud.io,"Open-source data labeling and annotation tool","ml,data,open-source",true,true

1666,Edge Impulse AI,edge-impulse-ai,AI Edge ML Platform,Freemium,https://www.edgeimpulse.com,"AI for edge devices and embedded systems","ml,edge,iot",true,true
1667,TensorFlow Lite AI,tensorflow-lite-ai,AI Edge ML,Free,https://www.tensorflow.org/lite,"Lightweight ML framework for mobile and edge devices","ml,edge,google",true,true
1668,ONNX Runtime AI,onnx-runtime-ai,AI Model Runtime,Free,https://onnxruntime.ai,"Cross-platform AI model inference runtime","ml,inference,ai",true,true
1669,Core ML Apple,coreml-apple,AI Edge Framework,Free,https://developer.apple.com,"Apple machine learning framework for iOS/macOS","apple,ml,ai",true,true
1670,PyTorch Mobile,torch-mobile,AI Mobile ML,Free,https://pytorch.org/mobile,"Mobile deployment framework for PyTorch models","ml,mobile,ai",true,true

1671,NVIDIA TensorRT,nvidia-tensorrt,AI Inference Optimization,Free,https://developer.nvidia.com/tensorrt,"High-performance deep learning inference optimizer","gpu,inference,ai",true,true
1672,NVIDIA Triton Server,nvidia-triton-server,AI Model Serving,Free,https://developer.nvidia.com/triton-inference-server,"AI model inference serving platform","gpu,inference,ai",true,true
