id,name,slug,category,pricing,website,description,tags,featured,verified
301,PathAI,path-ai,AI Healthcare Diagnostics,Paid,https://www.pathai.com,"AI-powered pathology diagnostics and medical research platform","healthcare,diagnostics,medical",true,true
302,Tempus,tempus,AI Precision Medicine,Paid,https://www.tempus.com,"AI platform for genomic data analysis and personalized healthcare","healthcare,genomics,data",true,true
303,Butterfly Network AI,butterfly-network-ai,AI Medical Imaging,Paid,https://www.butterflynetwork.com,"AI-enhanced ultrasound imaging technology","medical,imaging,ultrasound",true,true
304,Aidoc,aidoc,AI Radiology,Paid,https://www.aidoc.com,"AI solutions for radiology workflow and medical imaging analysis","radiology,medical,imaging",true,true
305,Zebra Medical Vision,zebra-medical-vision,AI Medical Imaging,Paid,https://www.nanox.vision,"AI algorithms for medical imaging analysis and diagnosis support","healthcare,imaging,diagnosis",true,true

306,Med-PaLM,med-palm,AI Medical Language Model,Research,https://health.google,"Medical large language model developed for healthcare applications","llm,medical,research",true,true
307,Glass AI,glass-ai,AI Clinical Assistant,Freemium,https://glass.health,"AI assistant for creating clinical notes and differential diagnoses","medical,doctor,notes",true,true
308,Suki AI,suki-ai,AI Medical Assistant,Paid,https://www.suki.ai,"AI voice assistant for healthcare professionals","medical,voice,documentation",true,true
309,DeepScribe,deepscribe,AI Medical Scribe,Paid,https://www.deepscribe.ai,"Automatically creates medical documentation from conversations","medical,transcription,notes",true,true
310,Nabla,nabla,AI Medical Assistant,Freemium,https://www.nabla.com,"AI assistant for clinicians and healthcare documentation","healthcare,doctor,notes",true,true

311,Khanmigo,khanmigo,AI Education Assistant,Freemium,https://www.khanacademy.org/khan-labs,"AI tutor from Khan Academy for personalized learning","education,tutor,learning",true,true
312,Duolingo Max,duolingo-max,AI Language Learning,Paid,https://www.duolingo.com/max,"AI-powered language learning with conversational practice","education,languages,tutor",true,true
313,Coursera Coach,coursera-coach,AI Learning Assistant,Freemium,https://www.coursera.org,"AI assistant for online courses and learning guidance","education,courses,assistant",true,true
314,Quizlet Q-Chat,quizlet-q-chat,AI Study Assistant,Freemium,https://quizlet.com,"AI tutor for studying and exam preparation","education,flashcards,learning",true,true
315,Socratic by Google,socratic-by-google,AI Homework Assistant,Free,https://socratic.org,"AI-powered homework help and problem solving","education,students,learning",true,true

316,ELSA Speak,elsa-speak,AI Language Coach,Freemium,https://elsaspeak.com,"AI English pronunciation and speaking coach","language,speaking,education",true,true
317,Speak,speak,AI Language Tutor,Freemium,https://www.speak.com,"AI-powered conversation practice for language learners","language,conversation,learning",true,true
318,Memrise AI,memrise-ai,AI Language Learning,Freemium,https://www.memrise.com,"AI language learning with personalized practice","education,language,learning",true,true
319,DeepL Write,deepl-write,AI Writing Assistant,Freemium,https://www.deepl.com/write,"AI writing and translation improvement assistant","writing,translation,grammar",true,true
320,Google Translate AI,google-translate-ai,AI Translation,Free,https://translate.google.com,"AI-powered multilingual translation service","translation,languages,communication",true,true

321,Riffusion,riffusion,AI Music Generator,Free,https://www.riffusion.com,"Generate music and audio from text prompts","music,audio,generative",true,true
322,Suno,suno,AI Music Generator,Freemium,https://suno.com,"Create complete songs with AI vocals and music","music,songs,vocals",true,true
323,Udio,udio,AI Music Generator,Freemium,https://www.udio.com,"AI platform for generating high-quality songs","music,audio,composition",true,true
324,AIVA,aiva,AI Music Composer,Freemium,https://www.aiva.ai,"AI composer for cinematic and professional music","music,composer,film",true,true
325,Soundraw,soundraw,AI Music Generator,Paid,https://soundraw.io,"Generate royalty-free AI music for creators","music,royalty-free,creator",true,true

326,Beatoven.ai,beatoven-ai,AI Music Generator,Freemium,https://www.beatoven.ai,"AI-generated background music for videos and podcasts","music,background,video",true,true
327,Soundful,soundful,AI Music Generator,Freemium,https://soundful.com,"AI music creation platform for creators and brands","music,creator,commercial",true,true
328,Boomy,boomy,AI Music Generator,Freemium,https://boomy.com,"Create and publish AI-generated songs","music,songs,streaming",true,true
