id,name,slug,category,pricing,website,description,tags,featured,verified
1801,OpenAI Toolformer SDK,toolformer-sdk,AI Tool Use Framework,Paid,https://platform.openai.com,"Framework for tool-using LLM applications","llm,tools,agents",true,true
1802,Anthropic Tool Use API,anthropic-tool-use-api,AI Tool Use System,Paid,https://www.anthropic.com,"Tool-using Claude API for structured actions","llm,tools,enterprise",true,true
1803,Google Gemini Tools API,gemini-tools-api,AI Tool Use Platform,Paid,https://ai.google,"Tool-calling system for Gemini models","llm,tools,google",true,true
1804,Microsoft Copilot Tools,microsoft-copilot-tools,AI Automation Tools,Paid,https://www.microsoft.com,"Tool-using Copilot automation framework","copilot,tools,enterprise",true,true
1805,Meta Toolformer Stack,meta-toolformer-stack,AI Tool Use Framework,Free,https://ai.meta.com,"Meta tool-use AI framework for Llama models","llm,tools,meta",true,true

1806,LangChain Tools Framework,langchain-tools-framework,AI Agent Tools,Free,https://www.langchain.com,"Tool integration framework for LLM agents","agents,tools,llm",true,true
1807,LlamaIndex Tools Layer,llamaindex-tools-layer,AI Tool Integration,Free,https://www.llamaindex.ai,"Tool and API integration layer for LLM apps","llm,tools,data",true,true
1808,Haystack Tools Engine,haystack-tools-engine,AI Tool Framework,Free,https://haystack.deepset.ai,"Open-source tool calling system for NLP apps","nlp,tools,open-source",true,true
1809,AutoGPT Tools System,autogpt-tools-system,AI Agent Tools,Free,https://github.com/Significant-Gravitas/AutoGPT,"Tool execution system for autonomous agents","agents,tools,ai",true,true
1810,BabyAGI Tools Layer,babyagi-tools-layer,AI Agent Tools,Free,https://github.com/yoheinakajima/babyagi,"Lightweight tool system for AI agents","agents,tools,ai",true,true

1811,CrewAI Tools Engine,crewai-tools-engine,AI Multi-Agent Tools,Paid,https://www.crewai.com,"Tool system for multi-agent workflows","agents,tools,ai",true,true
1812,LangGraph Tools Layer,langgraph-tools-layer,AI Agent Tools,Paid,https://langchain-ai.github.io/langgraph,"Graph-based tool execution for AI agents","agents,tools,workflow",true,true
