id,name,slug,category,pricing,website,description,tags,featured,verified
2701,OpenAI Design AI,openai-design-ai,AI Design Platform,Paid,https://platform.openai.com,"AI-powered design generation and creative automation system","design,ai,creative",true,true
2702,Adobe Firefly AI,adobe-firefly-ai,AI Design Tool,Paid,https://www.adobe.com/sensei/generative-ai/firefly.html,"Adobe AI image and design generation platform","design,adobe,ai",true,true
2703,Canva AI,canva-ai,AI Design Platform,Freemium,https://www.canva.com,"AI-powered graphic design and content creation tool","design,graphic,ai",true,true
2704,Figma AI,figma-ai,AI UI Design Tool,Paid,https://www.figma.com,"AI-assisted UI/UX design collaboration platform","design,ui,ai",true,true
2705,Midjourney AI,midjourney-ai,AI Image Generator,Paid,https://www.midjourney.com,"AI image generation and creative art platform","image,generation,ai",true,true

2706,DALL·E AI,dalle-ai,AI Image Generator,Paid,https://openai.com/dall-e,"AI image generation model by OpenAI","image,openai,ai",true,true
2707,Stable Diffusion AI,stable-diffusion-ai,AI Image Generator,Free,https://stability.ai,"Open-source AI image generation model","image,open-source,ai",true,true
2708,Leonardo AI,leonardo-ai,AI Image Generator,Freemium,https://leonardo.ai,"AI creative image generation platform","image,design,ai",true,true
2709,Runway ML,runway-ml,AI Video & Image Tool,Freemium,https://runwayml.com,"AI video and image generation platform","video,image,ai",true,true
2710,Playground AI,playground-ai,AI Image Generator,Freemium,https://playgroundai.com,"AI image generation and editing platform","image,creative,ai",true,true

2711,OpenAI Video AI,openai-video-ai,AI Video Generation,Paid,https://platform.openai.com,"AI video generation and editing system","video,generation,ai",true,true
2712,Sora AI,sora-ai,AI Video Generator,Paid,https://openai.com/sora,"OpenAI text-to-video generation model","video,openai,ai",true,true
2713,Pika Labs AI,pika-labs-ai,AI Video Generator,Freemium,https://pika.art,"AI video generation and animation tool","video,animation,ai",true,true
2714,Synthesia AI,synthesia-ai,AI Avatar Video,Paid,https://www.synthesia.io,"AI avatar-based video creation platform","video,avatar,ai",true,true
2715,HeyGen AI,heygen-ai,AI Video Avatar,Paid,https://www.heygen.com,"AI talking avatar video generation platform","video,avatar,ai",true,true

